ROW;GMT_TESTTIMESTAMP;COMPONENT_ID;WAFER_ID_XY;PSRO;CWP0_VDDN;CRP0_VDDN;HOME_DIRECTORY;MACHINE_FAMILY;SERIAL;LEVEL;TEST;TEST_PROGRAM;TEST_SUFFIX;PCX_LEVEL;FIRMWARE;BUP_TOOL_VERSION;FN
1;2019-01-24 11:37:54.0;11S02CY381YH1934494719;6A05G118SOE1/77/22;8.399;1.184;1.184;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/24/zMcharP00C21AE.SYSHEDD220181019.580443504367883871844301017719591224332720092221708283452404329079414110716230076320.20190124063754.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C21AE~20190124063754~MFG_MFG.xml.gz
1;2019-01-30 15:29:19.0;11S02CY381YH1934526414;6A05S053SOG2/49/55;8.147;1.097;1.097;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/30/zMcharP00C09A1.SYSHEDD220181019.343991874556372764138560866592554974959031079414110716230076320418058280069944194.20190130102919.3906M05.zip.gz;zMidas;C09A1;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C09A1~20190130102919~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934526899;6A05S099SOF4/63/55;8.172;1.144;1.144;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934526950;6A06F230SOD0/105/44;8.093;1.045;1.045;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-24 11:37:54.0;11S02CY381YH1934531221;6A061136SOG6/105/33;8.409;1.136;1.136;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/24/zMcharP00C21AE.SYSHEDD220181019.580443504367883871844301017719591224332720092221708283452404329079414110716230076320.20190124063754.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C21AE~20190124063754~MFG_MFG.xml.gz
1;2019-01-14 06:44:27.0;11S02CY381YH1934531232;6A05S027SOC3/105/22;8.299;1.2;1.2;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/14/zMcharP00C0D88.SYSHEDD220181019.138510622656097709037062709753232223533223600674153940262908194539256220.20190114014427.3906M05.zip.gz;zMidas;C0D88;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C0D88~20190114014427~MFG_MFG.xml.gz
1;2019-01-30 15:29:19.0;11S02CY381YH1934535110;65604222SEE1/49/77;8.337;1.186;1.186;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/30/zMcharP00C09A1.SYSHEDD220181019.343991874556372764138560866592554974959031079414110716230076320418058280069944194.20190130102919.3906M05.zip.gz;zMidas;C09A1;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C09A1~20190130102919~MFG_MFG.xml.gz
1;2019-01-31 19:28:58.0;11S02CY381YH1934535492;6A05T220SOA6/63/33;8.082;1.085;1.085;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/31/zMcharP00C36EC.SYSHEDD220181019.221962747543077198416065352339756195235992039558275982246042094492491919908.20190131142858.3906M05.zip.gz;zMidas;C36EC;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C36EC~20190131142858~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934535835;6A05S060SOF3/49/55;8.353;1.165;1.165;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-24 11:37:54.0;11S02CY381YH1934574504;6A05T096SOA4/119/66;8.122;1.111;1.111;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/24/zMcharP00C21AE.SYSHEDD220181019.580443504367883871844301017719591224332720092221708283452404329079414110716230076320.20190124063754.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C21AE~20190124063754~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934574512;6A05L262SOC1/63/66;8.352;1.206;1.206;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934574518;6A05L237SOC4/105/55;7.857;1.039;1.039;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-04 04:27:49.0;11S02CY381YH1934589611;6A061264SOD4/91/55;8.509;1.167;1.167;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/03/zMcharP00C0D88.SYSHEDD220181019.138510622656097709037062709753232223533223600674153940996611482430092530.20190103232749.3906M05.zip.gz;zMidas;C0D88;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C0D88~20190103232749~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934589613;6A061264SOD4/91/22;8.421;1.165;1.165;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-24 11:37:54.0;11S02CY381YH1934592708;6A061307SOD1/49/66;8.468;1.188;1.188;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/24/zMcharP00C21AE.SYSHEDD220181019.580443504367883871844301017719591224332720092221708283452404329079414110716230076320.20190124063754.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C21AE~20190124063754~MFG_MFG.xml.gz
1;2019-01-14 06:44:27.0;11S02CY381YH1934592709;6A061313SOF3/63/55;8.332;1.144;1.144;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/14/zMcharP00C0D88.SYSHEDD220181019.138510622656097709037062709753232223533223600674153940262908194539256220.20190114014427.3906M05.zip.gz;zMidas;C0D88;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M04~C0D88~20190114014427~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934595008;6560089ZSEH1/63/55;8.455;1.184;1.184;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-18 04:41:40.0;11S02CY381YH1934595132;6A05W075SOD1/77/55;8.294;1.159;1.159;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/17/zMcharP00C360C.SYSHEDD220181019.073950899597122135078280518132683584144412104835512714225639069114008613601231869072.20190117234140.3906M05.zip.gz;zMidas;C360C;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C360C~20190117234140~MFG_MFG.xml.gz
1;2019-01-24 11:37:54.0;11S02CY381YH1934595443;6A05T091SOB3/35/44;8.408;1.115;1.115;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/24/zMcharP00C21AE.SYSHEDD220181019.580443504367883871844301017719591224332720092221708283452404329079414110716230076320.20190124063754.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C21AE~20190124063754~MFG_MFG.xml.gz
1;2019-01-24 11:37:54.0;11S02CY381YH1934607017;6A05T348SOG0/105/22;7.874;1.095;1.095;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/24/zMcharP00C21AE.SYSHEDD220181019.580443504367883871844301017719591224332720092221708283452404329079414110716230076320.20190124063754.3906M05.zip.gz;zMidas;C21AE;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M05~C21AE~20190124063754~MFG_MFG.xml.gz
1;2019-01-22 18:08:43.0;11S02CY382YH1934595323;6A061292SOB1/35/55;8.395;1.105;1.105;http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2019/01/22/zMcharP00C255E.SYSHEDD220181101.967009809276249342238476575849113893478243323412303458319.20190122130843.3906M05.zip.gz;zMidas;C255E;MFG;FRM;NO_BATCHLIST;MFG;;D32L_MFG2_RC14;;XTEDS~3906~M03~C255E~20190122130843~MFG_MFG.xml.gz
