ROW,GMT_TESTTIMESTAMP,COMPONENT_ID,WAFER_ID_XY,PSRO,CWP0_VDDN,CRP0_VDDN,HOME_DIRECTORY,MACHINE_FAMILY,SERIAL,LEVEL,TEST,TEST_PROGRAM,TEST_SUFFIX,PCX_LEVEL,FIRMWARE,BUP_TOOL_VERSION,FN,
"1,2018-04-28 09:18:49.0,""11S02CY381YH1934456735"",""6A05F107SOC3/77/22"",8.086,1.157,1.157,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.614615735246387168076429866944064441163.20180428051849.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428051849~LAB_LAB.xml.gz"","
"1,2018-04-27 22:50:40.0,""11S02CY381YH1934456742"",""6A05F108SOG5/119/44"",8.149,1.165,1.165,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/27/zMcharM08.SYSHEDD220180412.614615735246387742168076429866944064441163.20180427185040.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180427185040~LAB_LAB.xml.gz"","
"1,2018-04-28 09:18:49.0,""11S02CY381YH1934457163"",""6A05F105SOB2/63/66"",8.513,1.171,1.171,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.614615735246387168076429866944064441163.20180428051849.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428051849~LAB_LAB.xml.gz"","
"1,2018-04-28 09:18:49.0,""11S02CY381YH1934457168"",""6A05F105SOB2/105/55"",8.388,1.2,1.2,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.614615735246387168076429866944064441163.20180428051849.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428051849~LAB_LAB.xml.gz"","
"1,2018-04-28 09:18:49.0,""11S02CY381YH1934459866"",""6A05D162SOA0/91/44"",8.314,1.206,1.206,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM08.SYSHEDD220180412.614615735246387168076429866944064441163.20180428051849.zip.gz"",""zMidas"",""6D437"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC9_DEBUG"","""",""XTEDS~3906~M02~6D437~20180428051849~LAB_LAB.xml.gz"","
"1,2018-04-28 16:24:14.0,""11S02CY381YH1934461191"",""6A05D181SOE6/63/33"",8.236,1.138,1.138,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/28/zMcharM60.SYSHEDD220180424.229228230017890473474472206207999889888191.20180428122414.zip.gz"",""zMidas"",""D87F7"",""LAB"",""FRM"",""NO_BATCHLIST"",""LAB"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180428122414~LAB_LAB.xml.gz"","
"1,2018-04-23 15:12:47.0,""11S02CY381YH3934447603"",""6A05B071SOA3/91/55"",8.268,1.173,1.173,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/23/zMcharM60.778777782017756604603605999024.20180423111246.zip.gz"",""zMidas"",""D87F7"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180423111247~CHAR_CHAR.xml.gz"","
"1,2018-04-23 15:12:47.0,""11S02CY381YH3934447604"",""6A05B071SOA3/49/22"",8.352,1.132,1.132,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/23/zMcharM60.778777782017756604603605999024.20180423111246.zip.gz"",""zMidas"",""D87F7"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180423111247~CHAR_CHAR.xml.gz"","
"1,2018-04-23 15:12:47.0,""11S02CY381YH3934447605"",""6A05B071SOA3/91/66"",8.493,1.167,1.167,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/23/zMcharM60.778777782017756604603605999024.20180423111246.zip.gz"",""zMidas"",""D87F7"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180423111247~CHAR_CHAR.xml.gz"","
"1,2018-04-23 15:12:47.0,""11S02CY381YH3934447778"",""6A05B071SOA3/77/22"",8.347,1.196,1.196,""http://ausgsa.ibm.com/projects/m/moosecollective/FRAMETEST/zm/logs/bydate/2018/04/23/zMcharM60.778777782017756604603605999024.20180423111246.zip.gz"",""zMidas"",""D87F7"",""CHAR"",""FRM"",""NO_BATCHLIST"",""CHAR"","""",""D32L_MFG2_RC7_DEBUG"","""",""XTEDS~3906~M02~D87F7~20180423111247~CHAR_CHAR.xml.gz"","
