DR0_ARB,Etch Length (millimeters),DR0_NxCPx,Etch Length (millimeters).1,DR0_ADAPTERx,Etch Length (millimeters).2,DR0_EXTENDERx,Etch Length (millimeters).3,System Etch Length (millimeters),System Pin Length (millimeters),System Total Etch Length (millimeters)
N0CP0_0_N0PE2_CK0_DAT_00_N  ,228.41683199999997,CP_0_PE_CK0_DAT_00_N        ,7.413869,X16EDGE_RPT_PCIE00_N        ,46.553111,CP_CAP_PCIE_TX00_N          ,147.709347,430.09315899999996,21.59988,451.69303899999994
N0CP0_0_N0PE2_CK0_DAT_00_P  ,229.12420600000002,CP_0_PE_CK0_DAT_00_P        ,7.453447,X16EDGE_RPT_PCIE00_P        ,46.443201,CP_CAP_PCIE_TX00_P          ,148.50986899999998,431.530723,20.029912,451.560635
N0CP0_0_N0PE2_CK0_DAT_01_N  ,220.384742,CP_0_PE_CK0_DAT_01_N        ,6.870660000000001,X16EDGE_RPT_PCIE01_N        ,45.348989,CP_CAP_PCIE_TX01_N          ,138.403124,411.007515,28.249997999999998,439.257513
N0CP0_0_N0PE2_CK0_DAT_01_P  ,220.82768900000002,CP_0_PE_CK0_DAT_01_P        ,7.131264,X16EDGE_RPT_PCIE01_P        ,45.231149,CP_CAP_PCIE_TX01_P          ,139.070109,412.26021000000003,27.039956,439.300166
N0CP0_0_N0PE2_CK0_DAT_02_N  ,211.46186200000002,CP_0_PE_CK0_DAT_02_N        ,11.229500999999999,X16EDGE_RPT_PCIE02_N        ,45.040591,CP_CAP_PCIE_TX02_N          ,130.680137,398.41209100000003,36.069932,434.482023
N0CP0_0_N0PE2_CK0_DAT_02_P  ,211.916516,CP_0_PE_CK0_DAT_02_P        ,11.057077,X16EDGE_RPT_PCIE02_P        ,44.952607,CP_CAP_PCIE_TX02_P          ,131.326511,399.25271200000003,34.750106,434.002818
N0CP0_0_N0PE2_CK0_DAT_03_N  ,213.644542,CP_0_PE_CK0_DAT_03_N        ,8.917112,X16EDGE_RPT_PCIE03_N        ,44.511134000000006,CP_CAP_PCIE_TX03_N          ,122.813576,389.886365,42.450096,432.33646100000004
N0CP0_0_N0PE2_CK0_DAT_03_P  ,214.113923,CP_0_PE_CK0_DAT_03_P        ,9.128392,X16EDGE_RPT_PCIE03_P        ,44.449917,CP_CAP_PCIE_TX03_P          ,123.39733700000001,391.089569,41.400064,432.489633
N0CP0_0_N0PE2_CK0_DAT_04_N  ,250.41185299999998,CP_0_PE_CK0_DAT_04_N        ,16.519681,X16EDGE_RPT_PCIE04_N        ,44.636005,CP_CAP_PCIE_TX04_N          ,129.255225,440.82276399999995,18.129924,458.95268799999997
N0CP0_0_N0PE2_CK0_DAT_04_P  ,250.87975699999998,CP_0_PE_CK0_DAT_04_P        ,16.059177,X16EDGE_RPT_PCIE04_P        ,44.53667,CP_CAP_PCIE_TX04_P          ,129.91229099999998,441.387895,16.940042000000002,458.327937
N0CP0_0_N0PE2_CK0_DAT_05_N  ,243.45347999999998,CP_0_PE_CK0_DAT_05_N        ,10.73423,X16EDGE_RPT_PCIE05_N        ,45.902757,CP_CAP_PCIE_TX05_N          ,121.187611,421.278079,24.660098,445.93817699999994
