--- MODULE_NAME---,---NETNAME---,ID, Etch/Pin_Length (mm), Extracted_Delay (ps), Table_Based_Loss (dB)
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_00_N,S,454.818039,2952.005938,10.015679
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_00_P,S,454.685635,2962.003880,10.013653
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_01_N,S,442.382513,2821.543169,9.710609
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_01_P,S,442.425166,2828.763729,9.717099
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_02_N,S,437.607023,2702.337307,9.685697
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_02_P,S,437.127818,2709.650745,9.672937
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_03_N,S,435.461461,2658.495646,9.523627
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_03_P,S,435.614633,2665.605537,9.531348
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_04_N,S,462.077688,2965.960621,10.051400
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_04_P,S,461.452937,2973.313667,10.030133
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_05_N,S,449.063177,2866.971861,9.658554
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_05_P,S,448.449346,2875.161615,9.641448
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_06_N,S,425.509394,2644.404068,9.298560
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_06_P,S,425.175743,2654.108150,9.289647
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_07_N,S,429.363146,2591.733360,9.426371
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK0_DAT_07_P,S,429.381011,2602.354423,9.429036
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_00_N,S,468.466602,2931.752348,10.746955
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_00_P,S,468.331486,2942.119488,10.743719
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_01_N,S,471.138933,2914.393744,10.701856
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_01_P,S,471.111070,2921.138697,10.706038
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_02_N,S,478.724700,2882.060858,10.982984
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_02_P,S,478.208094,2889.529553,10.968643
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_03_N,S,468.158784,2795.165379,10.696553
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_03_P,S,468.580167,2802.630708,10.713306
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_04_N,S,467.965597,2952.667844,10.696741
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_04_P,S,467.545932,2959.282447,10.685767
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_05_N,S,486.255226,3014.008815,11.084451
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_05_P,S,485.894480,3023.401162,11.074105
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_06_N,S,504.354320,3080.467602,11.445511
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_06_P,S,504.200411,3089.565551,11.446223
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_07_N,S,478.194885,2864.122542,11.021703
SYSTEM XNETNAME:,N0CP0_0_N0PE2_CK1_DAT_07_P,S,477.869838,2874.099302,11.013154
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_00_N,S,460.427988,2920.418151,10.354002
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_00_P,S,460.228237,2930.297108,10.349672
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_01_N,S,453.764285,2815.066722,10.193856
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_01_P,S,453.961405,2822.460730,10.205982
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_02_N,S,449.374611,2688.361894,10.210998
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_02_P,S,449.048092,2695.722920,10.204247
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_03_N,S,440.826666,2560.499041,10.086205
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_03_P,S,441.138632,2567.563466,10.100510
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_04_N,S,443.562546,2823.434924,9.805024
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_04_P,S,443.264763,2833.142140,9.788682
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_05_N,S,450.348617,2801.598712,9.941073
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_05_P,S,450.116998,2810.478331,9.936994
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_06_N,S,434.776791,2587.514710,9.874050
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_06_P,S,434.568123,2597.286870,9.869953
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_07_N,S,426.621458,2482.587998,9.700338
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK0_DAT_07_P,S,426.668877,2493.208324,9.704201
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_00_N,S,516.605713,3248.175843,11.578481
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_00_P,S,516.697910,3258.640994,11.584095
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_01_N,S,489.243324,3041.858328,10.984736
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_01_P,S,489.639948,3049.843326,11.001715
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_02_N,S,477.052471,2922.142605,10.774005
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_02_P,S,476.847240,2932.051526,10.763655
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_03_N,S,479.438163,2877.836493,10.856404
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_03_P,S,479.907093,2886.865437,10.869565
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_04_N,S,474.508701,3008.916710,10.763079
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_04_P,S,473.813438,3015.355546,10.741576
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_05_N,S,473.973659,2957.193335,10.787997
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_05_P,S,473.492943,2966.958799,10.771483
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_06_N,S,476.772802,2938.713092,10.829655
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_06_P,S,475.965173,2947.599125,10.804670
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_07_N,S,482.911609,2935.606467,10.960437
SYSTEM XNETNAME:,N0CP0_1_N0PE3_CK1_DAT_07_P,S,482.860409,2946.651089,10.959200
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_00_N,S,457.196785,2968.837945,10.052550
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_00_P,S,457.044004,2978.691699,10.050208
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_01_N,S,455.626726,2915.259217,9.915894
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_01_P,S,455.691415,2922.635705,9.922725
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_02_N,S,451.619669,2801.490790,9.902893
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_02_P,S,451.140547,2808.804814,9.890134
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_03_N,S,439.175233,2684.774301,9.581191
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_03_P,S,439.328355,2691.883835,9.588911
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_04_N,S,461.999785,2965.409376,10.050193
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_04_P,S,461.388567,2972.858183,10.029135
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_05_N,S,461.790665,2957.031566,9.855830
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_05_P,S,461.176821,2965.221230,9.838724
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_06_N,S,439.936983,2746.493691,9.522188
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_06_P,S,439.603295,2756.197510,9.513274
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_07_N,S,431.770196,2608.765641,9.463680
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK0_DAT_07_P,S,431.775468,2619.297603,9.466150
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_00_N,S,483.310866,3036.790357,10.977041
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_00_P,S,483.175833,3047.158084,10.973807
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_01_N,S,473.828196,2933.422969,10.743540
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_01_P,S,474.048912,2941.926863,10.751575
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_02_N,S,483.279744,2914.292349,11.053587
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_02_P,S,483.008402,2923.496538,11.043048
SYSTEM XNETNAME:,N0CP1_0_N0PE4_CK1_DAT_03_N,S,483.844428,2906.156993,10.939680
